# Source: http://norvig.com/mayzner.html
Word,Frequency
THE,97546
OF,97545
AND,97544
TO,97543
IN,97542
A,97541
IS,97540
THAT,97539
FOR,97538
IT,97537
AS,97536
WAS,97535
WITH,97534
BE,97533
BY,97532
ON,97531
NOT,97530
HE,97529
I,97528
THIS,97527
ARE,97526
OR,97525
HIS,97524
FROM,97523
AT,97522
WHICH,97521
BUT,97520
HAVE,97519
AN,97518
HAD,97517
THEY,97516
YOU,97515
WERE,97514
THEIR,97513
ONE,97512
ALL,97511
WE,97510
CAN,97509
HER,97508
HAS,97507
THERE,97506
BEEN,97505
IF,97504
MORE,97503
WHEN,97502
WILL,97501
WOULD,97500
WHO,97499
SO,97498
NO,97497
SHE,97496
OTHER,97495
ITS,97494
MAY,97493
THESE,97492
WHAT,97491
THEM,97490
THAN,97489
SOME,97488
HIM,97487
TIME,97486
INTO,97485
ONLY,97484
DO,97483
SUCH,97482
MY,97481
NEW,97480
ABOUT,97479
OUT,97478
ALSO,97477
TWO,97476
ANY,97475
UP,97474
FIRST,97473
COULD,97472
OUR,97471
THEN,97470
MOST,97469
SEE,97468
ME,97467
SHOULD,97466
AFTER,97465
SAID,97464
YOUR,97463
VERY,97462
BETWEEN,97461
MADE,97460
MANY,97459
OVER,97458
LIKE,97457
THOSE,97456
DID,97455
NOW,97454
EVEN,97453
WELL,97452
WHERE,97451
MUST,97450
PEOPLE,97449
THROUGH,97448
HOW,97447
SAME,97446
WORK,97445
BEING,97444
BECAUSE,97443
MAN,97442
LIFE,97441
BEFORE,97440
EACH,97439
MUCH,97438
UNDER,97437
S,97436
YEARS,97435
WAY,97434
GREAT,97433
STATE,97432
BOTH,97431
USE,97430
UPON,97429
OWN,97428
USED,97427
HOWEVER,97426
US,97425
PART,97424
GOOD,97423
WORLD,97422
MAKE,97421
THREE,97420
WHILE,97419
LONG,97418
DAY,97417
WITHOUT,97416
JUST,97415
MEN,97414
GENERAL,97413
DURING,97412
ANOTHER,97411
LITTLE,97410
FOUND,97409
HERE,97408
SYSTEM,97407
DOES,97406
DE,97405
DOWN,97404
NUMBER,97403
CASE,97402
AGAINST,97401
MIGHT,97400
STILL,97399
BACK,97398
RIGHT,97397
KNOW,97396
PLACE,97395
EVERY,97394
GOVERNMENT,97393
TOO,97392
HIGH,97391
OLD,97390
DIFFERENT,97389
STATES,97388
TAKE,97387
YEAR,97386
POWER,97385
SINCE,97384
GIVEN,97383
GOD,97382
NEVER,97381
SOCIAL,97380
ORDER,97379
WATER,97378
THUS,97377
FORM,97376
WITHIN,97375
SMALL,97374
SHALL,97373
PUBLIC,97372
LARGE,97371
LAW,97370
COME,97369
LESS,97368
CHILDREN,97367
WAR,97366
POINT,97365
CALLED,97364
AMERICAN,97363
AGAIN,97362
OFTEN,97361
GO,97360
FEW,97359
AMONG,97358
IMPORTANT,97357
END,97356
GET,97355
HOUSE,97354
SECOND,97353
THOUGH,97352
PRESENT,97351
EXAMPLE,97350
HIMSELF,97349
WOMEN,97348
LAST,97347
SAY,97346
LEFT,97345
FACT,97344
OFF,97343
SET,97342
PER,97341
YET,97340
HAND,97339
CAME,97338
DEVELOPMENT,97337
THOUGHT,97336
ALWAYS,97335
FAR,97334
COUNTRY,97333
YORK,97332
SCHOOL,97331
INFORMATION,97330
GROUP,97329
FOLLOWING,97328
THINK,97327
OTHERS,97326
POLITICAL,97325
HUMAN,97324
HISTORY,97323
UNITED,97322
GIVE,97321
FAMILY,97320
FIND,97319
NEED,97318
FIGURE,97317
POSSIBLE,97316
ALTHOUGH,97315
RATHER,97314
LATER,97313
UNIVERSITY,97312
ONCE,97311
COURSE,97310
UNTIL,97309
SEVERAL,97308
NATIONAL,97307
WHOLE,97306
CHAPTER,97305
EARLY,97304
FOUR,97303
HOME,97302
MEANS,97301
THINGS,97300
PROCESS,97299
NATURE,97298
ABOVE,97297
THEREFORE,97296
HAVING,97295
CERTAIN,97294
CONTROL,97293
DATA,97292
NAME,97291
ACT,97290
CHANGE,97289
VALUE,97288
BODY,97287
STUDY,97286
ET,97285
TABLE,97284
BECOME,97283
WHETHER,97282
CITY,97281
BOOK,97280
TAKEN,97279
SIDE,97278
TIMES,97277
AWAY,97276
C,97275
KNOWN,97274
PERIOD,97273
BEST,97272
B,97271
LINE,97270
AM,97269
COURT,97268
JOHN,97267
DAYS,97266
PUT,97265
YOUNG,97264
SEEN,97263
COMMON,97262
PERSON,97261
EITHER,97260
LET,97259
WHY,97258
LAND,97257
HEAD,97256
BUSINESS,97255
COMPANY,97254
CHURCH,97253
WORDS,97252
EFFECT,97251
SOCIETY,97250
AROUND,97249
BETTER,97248
NOTHING,97247
TOOK,97246
WHITE,97245
ITSELF,97244
SOMETHING,97243
LIGHT,97242
QUESTION,97241
ALMOST,97240
WENT,97239
INTEREST,97238
MIND,97237
NEXT,97236
LEAST,97235
LEVEL,97234
THEMSELVES,97233
ECONOMIC,97232
CHILD,97231
DEATH,97230
SERVICE,97229
VIEW,97228
ACTION,97227
FIVE,97226
II,97225
PRESS,97224
FATHER,97223
FURTHER,97222
LOVE,97221
RESEARCH,97220
AREA,97219
TRUE,97218
EDUCATION,97217
SELF,97216
AGE,97215
NECESSARY,97214
SUBJECT,97213
WANT,97212
CASES,97211
EVER,97210
GOING,97209
PROBLEM,97208
FREE,97207
DONE,97206
MAKING,97205
PARTY,97204
KING,97203
TOGETHER,97202
CENTURY,97201
SECTION,97200
USING,97199
POSITION,97198
TYPE,97197
RESULT,97196
HELP,97195
INDIVIDUAL,97194
ALREADY,97193
MATTER,97192
FULL,97191
HALF,97190
VARIOUS,97189
SENSE,97188
LOOK,97187
BASED,97186
WHOSE,97185
ENGLISH,97184
SOUTH,97183
TOTAL,97182
CLASS,97181
BECAME,97180
PERHAPS,97179
LONDON,97178
POLICY,97177
MEMBERS,97176
AL,97175
LOCAL,97174
ENOUGH,97173
PARTICULAR,97172
RATE,97171
AIR,97170
ALONG,97169
MOTHER,97168
KNOWLEDGE,97167
FACE,97166
WORD,97165
KIND,97164
OPEN,97163
TERMS,97162
ABLE,97161
MONEY,97160
EXPERIENCE,97159
CONDITIONS,97158
SUPPORT,97157
LA,97156
PROBLEMS,97155
REAL,97154
BLACK,97153
LANGUAGE,97152
RESULTS,97151
ROOM,97150
FORCE,97149
HELD,97148
LOW,97147
ACCORDING,97146
USUALLY,97145
NORTH,97144
SHOW,97143
NIGHT,97142
TOLD,97141
SHORT,97140
FIELD,97139
REASON,97138
ASKED,97137
QUITE,97136
NOR,97135
HEALTH,97134
SPECIAL,97133
THING,97132
ANALYSIS,97131
EYES,97130
ESPECIALLY,97129
LORD,97128
WOMAN,97127
MAJOR,97126
SIMILAR,97125
CARE,97124
THEORY,97123
D,97122
BROUGHT,97121
WHOM,97120
OFFICE,97119
ART,97118
PRODUCTION,97117
SOMETIMES,97116
THIRD,97115
SHOWN,97114
BRITISH,97113
DUE,97112
INTERNATIONAL,97111
BEGAN,97110
SINGLE,97109
NATURAL,97108
GOT,97107
ACCOUNT,97106
CAUSE,97105
COMMUNITY,97104
SAW,97103
HEART,97102
SOON,97101
CHANGES,97100
STUDIES,97099
GROUPS,97098
METHOD,97097
EVIDENCE,97096
SEEMS,97095
GREATER,97094
REQUIRED,97093
TRADE,97092
FOREIGN,97091
WEST,97090
CLEAR,97089
MODEL,97088
E,97087
NEAR,97086
STUDENTS,97085
PROBABLY,97084
FRENCH,97083
GAVE,97082
INCLUDING,97081
READ,97080
ENGLAND,97079
MATERIAL,97078
TERM,97077
PAST,97076
REPORT,97075
CONSIDERED,97074
FUTURE,97073
HIGHER,97072
STRUCTURE,97071
FIG,97070
AVAILABLE,97069
WORKING,97068
FELT,97067
TELL,97066
AMOUNT,97065
REALLY,97064
FUNCTION,97063
KEEP,97062
INDEED,97061
GROWTH,97060
MARKET,97059
NON,97058
INCREASE,97057
PERSONAL,97056
COST,97055
MEAN,97054
SURFACE,97053
KNEW,97052
IDEA,97051
LOWER,97050
NOTE,97049
PROGRAM,97048
TREATMENT,97047
SIX,97046
FOOD,97045
T,97044
CLOSE,97043
SYSTEMS,97042
BLOOD,97041
POPULATION,97040
CENTRAL,97039
CHARACTER,97038
PRESIDENT,97037
ENERGY,97036
PROPERTY,97035
LIVING,97034
PROVIDE,97033
SPECIFIC,97032
SCIENCE,97031
RETURN,97030
PRACTICE,97029
HANDS,97028
ROLE,97027
COUNTRIES,97026
MANAGEMENT,97025
TOWARD,97024
SON,97023
SAYS,97022
GENERALLY,97021
INFLUENCE,97020
PURPOSE,97019
AMERICA,97018
RECEIVED,97017
STRONG,97016
CALL,97015
SERVICES,97014
RIGHTS,97013
CURRENT,97012
M,97011
BELIEVE,97010
EFFECTS,97009
LETTER,97008
X,97007
LOOKED,97006
STORY,97005
FORMS,97004
SEEMED,97003
GROUND,97002
MAIN,97001
PAPER,97000
WORKS,96999
AREAS,96998
MODERN,96997
PROVIDED,96996
MOMENT,96995
WRITTEN,96994
SITUATION,96993
TURN,96992
FEET,96991
PLAN,96990
PARTS,96989
VALUES,96988
MOVEMENT,96987
PRIVATE,96986
LATE,96985
SIZE,96984
UNION,96983
DESCRIBED,96982
EAST,96981
TEST,96980
DIFFICULT,96979
FEEL,96978
RIVER,96977
POOR,96976
ATTENTION,96975
BOOKS,96974
TOWN,96973
SPACE,96972
O,96971
PRICE,96970
TURNED,96969
RULE,96968
PERCENT,96967
ACTIVITY,96966
ACROSS,96965
PLAY,96964
BUILDING,96963
ANYTHING,96962
PHYSICAL,96961
CAPITAL,96960
N,96959
HARD,96958
MAKES,96957
SEA,96956
CENT,96955
APPROACH,96954
PRESSURE,96953
FINALLY,96952
MILITARY,96951
MIDDLE,96950
SIR,96949
LONGER,96948
SPIRIT,96947
CONTINUED,96946
BASIS,96945
ARMY,96944
RED,96943
ALONE,96942
SIMPLE,96941
BELOW,96940
SERIES,96939
SOURCE,96938
INCREASED,96937
SENT,96936
PARTICULARLY,96935
EARTH,96934
MONTHS,96933
DEPARTMENT,96932
HEARD,96931
QUESTIONS,96930
LIKELY,96929
LOST,96928
COMPLETE,96927
BEHIND,96926
TAKING,96925
WIFE,96924
LINES,96923
OBJECT,96922
HOURS,96921
TWENTY,96920
ESTABLISHED,96919
COMMITTEE,96918
RELATED,96917
RANGE,96916
TRUTH,96915
INCOME,96914
INSTEAD,96913
BEYOND,96912
REST,96911
DEVELOPED,96910
OUTSIDE,96909
ORGANIZATION,96908
RELIGIOUS,96907
BOARD,96906
LIVE,96905
L,96904
DESIGN,96903
NEEDS,96902
PERSONS,96901
EXCEPT,96900
AUTHORITY,96899
PATIENT,96898
RESPECT,96897
LATTER,96896
SURE,96895
CULTURE,96894
RELATIONSHIP,96893
TEN,96892
METHODS,96891
FOLLOWED,96890
WILLIAM,96889
CONDITION,96888
POINTS,96887
ADDITION,96886
DIRECT,96885
SEEM,96884
INDUSTRY,96883
COLLEGE,96882
FRIENDS,96881
BEGINNING,96880
HUNDRED,96879
MANNER,96878
FRONT,96877
ORIGINAL,96876
PATIENTS,96875
APPEAR,96874
INCLUDE,96873
SHOWS,96872
WAYS,96871
ACTIVITIES,96870
RELATIONS,96869
WRITING,96868
COUNCIL,96867
DISEASE,96866
STANDARD,96865
FIRE,96864
GERMAN,96863
FRANCE,96862
DEGREE,96861
TOWARDS,96860
PRODUCED,96859
LEAVE,96858
UNDERSTAND,96857
CELLS,96856
AVERAGE,96855
MARCH,96854
CARRIED,96853
LENGTH,96852
DIFFERENCE,96851
SIMPLY,96850
NORMAL,96849
VOL,96848
QUALITY,96847
STREET,96846
RUN,96845
ANSWER,96844
MORNING,96843
LOSS,96842
DOING,96841
STAGE,96840
PAY,96839
TODAY,96838
DECISION,96837
LABOR,96836
PAGE,96835
V,96834
PUBLISHED,96833
WORKERS,96832
BANK,96831
TOP,96830
WANTED,96829
JOURNAL,96828
PASSED,96827
DOOR,96826
P,96825
IMPORTANCE,96824
WESTERN,96823
TAX,96822
INVOLVED,96821
SOLUTION,96820
HOPE,96819
VOICE,96818
READING,96817
OBTAINED,96816
BRING,96815
PEACE,96814
NEEDED,96813
PLACED,96812
CHIEF,96811
SPECIES,96810
ADDED,96809
EUROPE,96808
LOOKING,96807
FACTORS,96806
LAWS,96805
BEHAVIOR,96804
DIE,96803
RESPONSE,96802
LED,96801
ASSOCIATION,96800
PERFORMANCE,96799
ROAD,96798
ISSUE,96797
CONSIDER,96796
EQUAL,96795
LEARNING,96794
INDIA,96793
TRAINING,96792
FORCES,96791
CUT,96790
EARLIER,96789
BASIC,96788
MEMBER,96787
FRIEND,96786
LEAD,96785
APPEARS,96784
TYPES,96783
SCHOOLS,96782
MUSIC,96781
JAMES,96780
TEMPERATURE,96779
CHRISTIAN,96778
VOLUME,96777
KEPT,96776
REVIEW,96775
SIGNIFICANT,96774
J,96773
FORMER,96772
MEANING,96771
ASSOCIATED,96770
WROTE,96769
CENTER,96768
DIRECTION,96767
EVERYTHING,96766
JOB,96765
UNDERSTANDING,96764
REGION,96763
BIG,96762
HOLD,96761
OPINION,96760
TEXT,96759
JUNE,96758
DATE,96757
APPLICATION,96756
AUTHOR,96755
F,96754
CELL,96753
DISTRIBUTION,96752
FALL,96751
BECOMES,96750
WASHINGTON,96749
LIMITED,96748
INDIAN,96747
PRESENCE,96746
SOUND,96745
III,96744
MEETING,96743
CLEARLY,96742
EXPECTED,96741
FEDERAL,96740
R,96739
NEARLY,96738
ED,96737
EXTENT,96736
PARENTS,96735
YES,96734
IDEAS,96733
MEDICAL,96732
OBSERVED,96731
ACTUALLY,96730
FINAL,96729
GEORGE,96728
MILES,96727
ELEMENTS,96726
LIST,96725
PROJECT,96724
PRODUCT,96723
THROUGHOUT,96722
CHRIST,96721
DISCUSSION,96720
APPLIED,96719
RULES,96718
PRODUCE,96717
RELIGION,96716
DEEP,96715
OPERATION,96714
ISSUES,96713
ELSE,96712
MASS,96711
COMING,96710
DETERMINED,96709
EUROPEAN,96708
EVENTS,96707
SECURITY,96706
OIL,96705
FINE,96704
DISTANCE,96703
MOVE,96702
EFFECTIVE,96701
PAID,96700
NATION,96699
STEP,96698
GIVES,96697
SUCCESS,96696
LITERATURE,96695
PRODUCTS,96694
NEITHER,96693
RESOURCES,96692
FOLLOW,96691
CROSS,96690
ASK,96689
LEVELS,96688
IMMEDIATELY,96687
CERTAINLY,96686
PRINCIPLE,96685
MORAL,96684
JULY,96683
FORMED,96682
REACHED,96681
FAITH,96680
DEAL,96679
RECENT,96678
LEGAL,96677
ADMINISTRATION,96676
COMES,96675
MATERIALS,96674
POTENTIAL,96673
PRESENTED,96672
CONGRESS,96671
CIVIL,96670
DIRECTLY,96669
MEET,96668
MET,96667
PRINCIPLES,96666
EXPRESSION,96665
MYSELF,96664
BORN,96663
WIDE,96662
POST,96661
JUSTICE,96660
STRENGTH,96659
RELATION,96658
STATEMENT,96657
FINANCIAL,96656
DEAD,96655
LARGER,96654
CULTURAL,96653
HISTORICAL,96652
EXISTENCE,96651
BUILT,96650
WEIGHT,96649
REFERENCE,96648
FEELING,96647
ROUND,96646
REPORTED,96645
RISK,96644
APPEARED,96643
INCLUDED,96642
SCALE,96641
INDIVIDUALS,96640
SUPPLY,96639
MILLION,96638
DIFFERENCES,96637
WRITE,96636
DOUBT,96635
HOUR,96634
INDUSTRIAL,96633
APRIL,96632
PRIMARY,96631
BASE,96630
LETTERS,96629
INTERESTS,96628
NUMBERS,96627
SEVEN,96626
PLACES,96625
WALL,96624
COMPLEX,96623
ENTIRE,96622
TRY,96621
ARTICLE,96620
COUNTY,96619
COSTS,96618
THINKING,96617
RECORD,96616
FLOW,96615
FOLLOWS,96614
SUN,96613
ATTEMPT,96612
BAD,96611
INSTANCE,96610
COMMISSION,96609
EASILY,96608
UNIT,96607
DIED,96606
GREEN,96605
CHARLES,96604
WEEK,96603
DEMAND,96602
ACID,96601
ENVIRONMENT,96600
PROPER,96599
TAKES,96598
POSITIVE,96597
TALK,96596
ACTIVE,96595
IMAGE,96594
PLANT,96593
FREEDOM,96592
LIBRARY,96591
DARK,96590
KEY,96589
MENTIONED,96588
CO,96587
SPEAK,96586
ALLOWED,96585
WHATEVER,96584
CONCERNED,96583
MEASURE,96582
LIVES,96581
MERELY,96580
FEAR,96579
PARIS,96578
INDEPENDENT,96577
HEAT,96576
CIRCUMSTANCES,96575
THOMAS,96574
GIVING,96573
MASTER,96572
TRIED,96571
CHINA,96570
EYE,96569
UPPER,96568
GONE,96567
ACTUAL,96566
COLD,96565
FREQUENTLY,96564
EIGHT,96563
ABILITY,96562
UNLESS,96561
REGARD,96560
HENRY,96559
STATUS,96558
HEAR,96557
THOUSAND,96556
MINUTES,96555
PARTIES,96554
STOCK,96553
STUDENT,96552
RISE,96551
ARMS,96550
FACTOR,96549
CHARGE,96548
EASY,96547
CREATED,96546
STAND,96545
STARTED,96544
CONTENT,96543
SHARE,96542
PICTURE,96541
HERSELF,96540
AGREEMENT,96539
REMEMBER,96538
CONSTANT,96537
NONE,96536
POPULAR,96535
APPROPRIATE,96534
STYLE,96533
START,96532
GOODS,96531
CONSIDERABLE,96530
READY,96529
Y,96528
OCCUR,96527
NOTES,96526
FORWARD,96525
RATES,96524
RETURNED,96523
DEFINED,96522
CONSTRUCTION,96521
MINISTER,96520
USEFUL,96519
REMAIN,96518
NATIONS,96517
ISLAND,96516
STOOD,96515
CHOICE,96514
DISTRICT,96513
SPEECH,96512
ECONOMY,96511
JESUS,96510
MOVED,96509
POWERS,96508
PAUL,96507
DESIRE,96506
DIVISION,96505
BILL,96504
GERMANY,96503
HIGHLY,96502
TASK,96501
